"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"zip/20866","","20866","Median_Income_Person","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",39448,"Median Income of a Population"
"zip/20866","","20866","Median_Income_Person","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",41111,"Median Income of a Population"
"zip/20866","","20866","Median_Income_Person","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",41520,"Median Income of a Population"
"zip/20866","","20866","Median_Income_Person","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",44277,"Median Income of a Population"
"zip/20866","","20866","Median_Income_Person","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",41820,"Median Income of a Population"
"zip/20866","","20866","Median_Income_Person","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",41963,"Median Income of a Population"
"zip/20866","","20866","Median_Income_Person","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",39842,"Median Income of a Population"
"zip/20866","","20866","Median_Income_Person","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",39461,"Median Income of a Population"
"zip/20866","","20866","Median_Income_Person","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",39725,"Median Income of a Population"
"zip/20866","","20866","Median_Income_Person","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",40303,"Median Income of a Population"
"zip/20866","","20866","Median_Income_Person","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",45981,"Median Income of a Population"
"zip/20866","","20866","Median_Income_Person","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",52477,"Median Income of a Population"
"zip/20866","","20866","Median_Income_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",51987,"Median Income of a Population"
"zip/20866","","20866","Median_Income_Person","2024","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",53463,"Median Income of a Population"
