"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"zip/20906","","20906","Median_Income_Person","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",31803,"Median Income of a Population"
"zip/20906","","20906","Median_Income_Person","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",30940,"Median Income of a Population"
"zip/20906","","20906","Median_Income_Person","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",31332,"Median Income of a Population"
"zip/20906","","20906","Median_Income_Person","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",31622,"Median Income of a Population"
"zip/20906","","20906","Median_Income_Person","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",31039,"Median Income of a Population"
"zip/20906","","20906","Median_Income_Person","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",31378,"Median Income of a Population"
"zip/20906","","20906","Median_Income_Person","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",31568,"Median Income of a Population"
"zip/20906","","20906","Median_Income_Person","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",32429,"Median Income of a Population"
"zip/20906","","20906","Median_Income_Person","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",32292,"Median Income of a Population"
"zip/20906","","20906","Median_Income_Person","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",34017,"Median Income of a Population"
"zip/20906","","20906","Median_Income_Person","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",36425,"Median Income of a Population"
"zip/20906","","20906","Median_Income_Person","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",41198,"Median Income of a Population"
"zip/20906","","20906","Median_Income_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",42979,"Median Income of a Population"
"zip/20906","","20906","Median_Income_Person","2024","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",45025,"Median Income of a Population"
